sentence,spearman_r,paper_r,p_value,significance
1,1.0,0.77,0.0,significant
2,0.91,0.98,3.397888229822055e-07,significant
3,0.62,0.66,0.00841919330931415,significant
4,0.97,0.91,2.8252124168461356e-10,significant
5,0.78,0.69,0.0002291162058722693,significant
6,0.77,0.74,0.00027108433405912725,significant
7,0.71,0.68,0.0014900628057350736,significant
8,0.61,0.69,0.008719870452196712,significant
9,0.66,0.93,0.0042601874988307245,significant
10,0.75,0.76,0.0005228771517626597,significant
11,0.46,0.68,0.062304314757134646,not significant
12,0.75,0.79,0.0005943596456253211,significant
13,0.6,0.79,0.010463014918681901,significant
