sentence,spearman_r,paper_r,p_value,significance
1,1.0,0.77,0.0,significant
2,1.0,0.98,2.570273482655349e-17,significant
3,0.84,0.66,2.4914239735213972e-05,significant
4,0.68,0.91,0.0025620153697564875,significant
5,0.84,0.69,2.922598514332067e-05,significant
6,0.99,0.74,2.3543273134913883e-14,significant
7,0.75,0.68,0.0005660271401335403,significant
8,0.63,0.69,0.00691411001211934,significant
9,0.66,0.93,0.0042601874988307245,significant
10,0.75,0.76,0.0005228771517626597,significant
11,0.53,0.68,0.027682356586177823,significant
12,0.56,0.79,0.020047782777913026,significant
13,0.89,0.79,1.750002890060667e-06,significant
