sentence,spearman_r,paper_r,p_value,significance
1,1.0,0.77,0.0,significant
2,1.0,0.98,2.570273482655349e-17,significant
3,0.96,0.66,2.205198305247039e-09,significant
4,0.93,0.91,9.95078196422543e-08,significant
5,0.69,0.69,0.0022699287281114475,significant
6,0.63,0.74,0.006196156142564319,significant
7,0.71,0.68,0.0014900628057350736,significant
8,0.44,0.69,0.07469172120468134,not significant
9,0.5,0.93,0.04025737903430667,significant
10,0.75,0.76,0.0005228771517626597,significant
11,0.32,0.68,0.2034072933053892,not significant
12,0.73,0.79,0.000946688445323554,significant
13,0.78,0.79,0.000231074997600353,significant
