sentence,spearman_r,paper_r,p_value,significance
1,1.0,0.77,0.0,significant
2,0.92,0.98,1.7533245420521578e-07,significant
3,0.96,0.66,2.205198305247039e-09,significant
4,0.92,0.91,1.7176204341311424e-07,significant
5,0.51,0.69,0.03799169285158968,significant
6,0.46,0.74,0.0652600655722737,not significant
7,0.89,0.68,1.9917962609557836e-06,significant
8,0.53,0.69,0.02877835467176346,significant
9,0.68,0.93,0.0025433965511640452,significant
10,0.48,0.76,0.050618976493332066,not significant
11,0.06,0.68,0.8299039143375131,not significant
12,0.36,0.79,0.16110931726936684,not significant
13,0.43,0.79,0.08493865629639244,not significant
