sentence,spearman_r,paper_r,p_value,significance
1,1.0,0.77,0.0,significant
2,1.0,0.98,2.570273482655349e-17,significant
3,0.96,0.66,2.205198305247039e-09,significant
4,0.94,0.91,1.4868785376696218e-08,significant
5,0.49,0.69,0.048300220776280725,significant
6,0.53,0.74,0.02766968140392471,significant
7,0.6,0.68,0.011640542909402382,significant
8,0.61,0.69,0.008719870452196712,significant
9,0.66,0.93,0.0042601874988307245,significant
10,0.93,0.76,5.782448821257344e-08,significant
11,0.44,0.68,0.07641053579264186,not significant
12,0.73,0.79,0.000946688445323554,significant
13,0.78,0.79,0.000231074997600353,significant
