sentence,spearman_r,paper_r,p_value,significance
1,1.0,0.77,0.0,significant
2,1.0,0.98,2.570273482655349e-17,significant
3,0.84,0.66,2.4914239735213972e-05,significant
4,0.84,0.91,2.2864488109571764e-05,significant
5,0.78,0.69,0.0002291162058722693,significant
6,0.73,0.74,0.0008410679221359104,significant
7,0.89,0.68,1.367180039642927e-06,significant
8,0.63,0.69,0.00691411001211934,significant
9,0.66,0.93,0.0042601874988307245,significant
10,0.76,0.76,0.0003486295446507002,significant
11,0.36,0.68,0.15275031668868944,not significant
12,0.73,0.79,0.000946688445323554,significant
13,0.6,0.79,0.010628344785633624,significant
