sentence,spearman_r,paper_r,p_value,significance
1,1.0,0.77,0.0,significant
2,0.92,0.98,1.3197135741980714e-07,significant
3,0.88,0.66,3.2437048518934303e-06,significant
4,0.86,0.91,1.0655702330643774e-05,significant
5,0.62,0.69,0.007709306725557645,significant
6,0.53,0.74,0.02766968140392471,significant
7,0.75,0.68,0.0005660271401335403,significant
8,0.61,0.69,0.008719870452196712,significant
9,0.66,0.93,0.0042601874988307245,significant
10,0.66,0.76,0.0037332527883029913,significant
11,0.25,0.68,0.33550882695753936,not significant
12,0.61,0.79,0.009098041116831984,significant
13,0.7,0.79,0.0015774667419016133,significant
