sentence,spearman_r,paper_r,p_value,significance
1,1.0,0.77,0.0,significant
2,0.84,0.98,2.2383504726042206e-05,significant
3,0.96,0.66,2.519547250971694e-09,significant
4,0.91,0.91,3.220263812736886e-07,significant
5,0.49,0.69,0.048300220776280725,significant
6,0.67,0.74,0.003034561705622022,significant
7,0.55,0.68,0.021949141637135995,significant
8,0.61,0.69,0.008719870452196712,significant
9,0.66,0.93,0.0042601874988307245,significant
10,0.67,0.76,0.0031627213152516233,significant
11,0.46,0.68,0.062304314757134646,not significant
12,0.73,0.79,0.000946688445323554,significant
13,0.6,0.79,0.010628344785633624,significant
